alt_offset,days_for_RAAN_change,del_V,along_track,1.0N,0.5N,0.1N,0.01N,0.001N
1.000,645.890,1.087,-30322.883,645.890,645.891,645.896,645.953,646.519
6.000,107.474,6.524,-30290.186,107.478,107.482,107.512,107.852,111.250
11.000,58.527,11.967,-30257.485,58.534,58.541,58.597,59.220,65.453
16.000,40.172,17.416,-30224.780,40.183,40.193,40.273,41.180,50.251
21.000,30.558,22.871,-30192.071,30.571,30.584,30.690,31.882,43.793
26.000,24.641,28.332,-30159.359,24.658,24.674,24.805,26.281,41.037
31.000,20.633,33.798,-30126.642,20.653,20.673,20.829,22.589,40.193
36.000,17.739,39.271,-30093.922,17.761,17.784,17.966,20.011,40.465
41.000,15.550,44.749,-30061.198,15.576,15.602,15.809,18.140,41.447
46.000,13.837,50.234,-30028.471,13.866,13.895,14.128,16.744,42.908
